"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Wonen/Gemiddelde woningwaarde (x 1 000 euro)";"Wonen/Woningen naar bouwjaar/Bouwjaar voor 2000 (%)";"Wonen/Woningen naar bouwjaar/Bouwjaar vanaf 2000 (%)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)"
"Osdorp-Midden";"   15735";"    3460";"    2230";"    5370";"    2950";"    1735";"    7060";"    3090";"    1360";"    2620";"     181";"      45";"      55";"    18.6"
"De Punt";"    5485";"     990";"     745";"    1740";"    1195";"     825";"    2625";"    1330";"     490";"     815";"     147";"      92";"       8";"    18.8"
"Middelveldsche Akerpolder en Sloten";"   15090";"    2815";"    2230";"    3535";"    4905";"    1610";"    6130";"    1895";"    1400";"    2840";"     262";"      84";"      16";"    25.8"
"Slotervaart";"   17585";"    3200";"    2675";"    5210";"    3790";"    2720";"    8565";"    4220";"    1770";"    2580";"     176";"      91";"       9";"    20.2"
"Overtoomse Veld";"   11670";"    2010";"    2610";"    3990";"    2050";"    1015";"    5835";"    3275";"    1005";"    1560";"     164";"      70";"      30";"    18.7"
"Westlandgracht";"    7440";"    1220";"     895";"    3225";"    1435";"     675";"    4035";"    2220";"     885";"     935";"     190";"      64";"      36";"    28.7"
"Sloten- en Riekerpolder";"   13140";"    1910";"    1930";"    2975";"    4575";"    1750";"    5735";"    1915";"    1495";"    2335";"     250";"      98";"       2";"    27.6"
"Stadsdeel Zuid";"  141390";"   18415";"   15725";"   54095";"   32380";"   20780";"   84065";"   49510";"   18185";"   16375";"     308";"      96";"       4";"    37.1"
"Oude Pijp";"   14975";"    1450";"    2165";"    7070";"    3180";"    1115";"   10015";"    6685";"    2060";"    1275";"     253";"      99";"       1";"    31.5"
"Nieuwe Pijp";"   12240";"    1210";"    1430";"    5740";"    2635";"    1230";"    7920";"    5140";"    1605";"    1185";"     238";"      96";"       4";"    30.6"
